Language,Afar ,aa ,aar ,aar ,Afaraf 
Language,Abkhaz ,ab ,abk ,abk ,"аҧсуа бызшәа, аҧсшәа "
Language,Avestan ,ae ,ave ,ave ,avesta 
Language,Afrikaans ,af ,afr ,afr ,Afrikaans 
Language,Akan ,ak ,aka ,aka ,Akan 
Language,Amharic ,am ,amh ,amh ,አማርኛ 
Language,Aragonese ,an ,arg ,arg ,aragonés 
Language,Arabic ,ar ,ara ,ara ,العربية 
Language,Assamese ,as ,asm ,asm ,অসমীয়া 
Language,Avaric ,av ,ava ,ava ,"авар мацӀ, магӀарул мацӀ "
Language,Aymara ,ay ,aym ,aym ,aymar aru 
Language,Azerbaijani ,az ,aze ,aze ,azərbaycan dili 
Language,South Azerbaijani ,az ,azb ,azb ,تورکجه 
Language,Bashkir ,ba ,bak ,bak ,башҡорт теле 
Language,Belarusian ,be ,bel ,bel ,беларуская мова 
Language,Bulgarian ,bg ,bul ,bul ,български език 
Language,Bihari ,bh ,bih ,bih ,भोजपुरी 
Language,Bislama ,bi ,bis ,bis ,Bislama 
Language,Bambara ,bm ,bam ,bam ,bamanankan 
Language,Bengali; Bangla ,bn ,ben ,ben ,বাংলা 
Language,"Tibetan Standard, Tibetan, Central ",bo ,bod ,tib ,བོད་ཡིག 
Language,Breton ,br ,bre ,bre ,brezhoneg 
Language,Bosnian ,bs ,bos ,bos ,bosanski jezik 
Language,Catalan; Valencian ,ca ,cat ,cat ,"català, valencià "
Language,Chechen ,ce ,che ,che ,нохчийн мотт 
Language,Chamorro ,ch ,cha ,cha ,Chamoru 
Language,Corsican ,co ,cos ,cos ,"corsu, lingua corsa "
Language,Cree ,cr ,cre ,cre ,ᓀᐦᐃᔭᐍᐏᐣ 
Language,Czech ,cs ,ces ,cze ,"čeština, český jazyk "
Language,"Old Church Slavonic, Church Slavonic, Old Bulgarian ",cu ,chu ,chu ,ѩзыкъ словѣньскъ 
Language,Chuvash ,cv ,chv ,chv ,чӑваш чӗлхи 
Language,Welsh ,cy ,cym ,wel ,Cymraeg 
Language,Danish ,da ,dan ,dan ,dansk 
Language,German ,de ,deu ,ger ,Deutsch 
Language,Divehi; Dhivehi; Maldivian; ,dv ,div ,div ,ދިވެހި 
Language,Dzongkha ,dz ,dzo ,dzo ,རྫོང་ཁ 
Language,Ewe ,ee ,ewe ,ewe ,Eʋegbe 
Language,"Greek, Modern ",el ,ell ,gre ,ελληνικά 
Language,English ,en ,eng ,eng ,English 
Language,Esperanto ,eo ,epo ,epo ,Esperanto 
Language,Spanish; Castilian ,es ,spa ,spa ,"español, castellano "
Language,Estonian ,et ,est ,est ,"eesti, eesti keel "
Language,Basque ,eu ,eus ,baq ,"euskara, euskera "
Language,Persian (Farsi) ,fa ,fas ,per ,فارسی 
Language,Fula; Fulah; Pulaar; Pular ,ff ,ful ,ful ,"Fulfulde, Pulaar, Pular "
Language,Finnish ,fi ,fin ,fin ,"suomi, suomen kieli "
Language,Fijian ,fj ,fij ,fij ,vosa Vakaviti 
Language,Faroese ,fo ,fao ,fao ,føroyskt 
Language,French ,fr ,fra ,fre ,"français, langue française "
Language,Western Frisian ,fy ,fry ,fry ,Frysk 
Language,Irish ,ga ,gle ,gle ,Gaeilge 
Language,Scottish Gaelic; Gaelic ,gd ,gla ,gla ,Gàidhlig 
Language,Galician ,gl ,glg ,glg ,galego 
Language,Guaraní ,gn ,grn ,grn ,Avañe'ẽ 
Language,Gujarati ,gu ,guj ,guj ,ગુજરાતી 
Language,Manx ,gv ,glv ,glv ,"Gaelg, Gailck "
Language,Hausa ,ha ,hau ,hau ,"Hausa, هَوُسَ "
Language,Hebrew (modern) ,he ,heb ,heb ,עברית 
Language,Hindi ,hi ,hin ,hin ,"हिन्दी, हिंदी "
Language,Hiri Motu ,ho ,hmo ,hmo ,Hiri Motu 
Language,Croatian ,hr ,hrv ,hrv ,hrvatski jezik 
Language,Haitian; Haitian Creole ,ht ,hat ,hat ,Kreyòl ayisyen 
Language,Hungarian ,hu ,hun ,hun ,magyar 
Language,Armenian ,hy ,hye ,arm ,Հայերեն 
Language,Herero ,hz ,her ,her ,Otjiherero 
Language,Interlingua ,ia ,ina ,ina ,Interlingua 
Language,Indonesian ,id ,ind ,ind ,Bahasa Indonesia 
Language,Interlingue ,ie ,ile ,ile ,Originally called Occidental; then Interlingue after WWII 
Language,Igbo ,ig ,ibo ,ibo ,Asụsụ Igbo 
Language,Nuosu ,ii ,iii ,iii ,ꆈꌠ꒿ Nuosuhxop 
Language,Inupiaq ,ik ,ipk ,ipk ,"Iñupiaq, Iñupiatun "
Language,Ido ,io ,ido ,ido ,Ido 
Language,Icelandic ,is ,isl ,ice ,Íslenska 
Language,Italian ,it ,ita ,ita ,italiano 
Language,Inuktitut ,iu ,iku ,iku ,ᐃᓄᒃᑎᑐᑦ 
Language,Japanese ,ja ,jpn ,jpn ,日本語 (にほんご) 
Language,Javanese ,jv ,jav ,jav ,basa Jawa 
Language,Georgian ,ka ,kat ,geo ,ქართული 
Language,Kongo ,kg ,kon ,kon ,KiKongo 
Language,"Kikuyu, Gikuyu ",ki ,kik ,kik ,Gĩkũyũ 
Language,"Kwanyama, Kuanyama ",kj ,kua ,kua ,Kuanyama 
Language,Kazakh ,kk ,kaz ,kaz ,қазақ тілі 
Language,"Kalaallisut, Greenlandic ",kl ,kal ,kal ,"kalaallisut, kalaallit oqaasii "
Language,Khmer ,km ,khm ,khm ,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ "
Language,Kannada ,kn ,kan ,kan ,ಕನ್ನಡ 
Language,Korean ,ko ,kor ,kor ,"한국어 (韓國語), 조선어 (朝鮮語) "
Language,Kanuri ,kr ,kau ,kau ,Kanuri 
Language,Kashmiri ,ks ,kas ,kas ,"कश्मीरी, كشميري "
Language,Kurdish ,ku ,kur ,kur ,"Kurdî, كوردی "
Language,Komi ,kv ,kom ,kom ,коми кыв 
Language,Cornish ,kw ,cor ,cor ,Kernewek 
Language,Kyrgyz ,ky ,kir ,kir ,"Кыргызча, Кыргыз тили "
Language,Latin ,la ,lat ,lat ,"latine, lingua latina "
Language,"Luxembourgish, Letzeburgesch ",lb ,ltz ,ltz ,Lëtzebuergesch 
Language,Ganda ,lg ,lug ,lug ,Luganda 
Language,"Limburgish, Limburgan, Limburger ",li ,lim ,lim ,Limburgs 
Language,Lingala ,ln ,lin ,lin ,Lingála 
Language,Lao ,lo ,lao ,lao ,ພາສາລາວ 
Language,Lithuanian ,lt ,lit ,lit ,lietuvių kalba 
Language,Luba-Katanga ,lu ,lub ,lub ,Tshiluba 
Language,Latvian ,lv ,lav ,lav ,latviešu valoda 
Language,Malagasy ,mg ,mlg ,mlg ,fiteny malagasy 
Language,Marshallese ,mh ,mah ,mah ,Kajin M̧ajeļ 
Language,Māori ,mi ,mri ,mao ,te reo Māori 
Language,Macedonian ,mk ,mkd ,mac ,македонски јазик 
Language,Malayalam ,ml ,mal ,mal ,മലയാളം 
Language,Mongolian ,mn ,mon ,mon ,монгол 
Language,Marathi (Marāṭhī) ,mr ,mar ,mar ,मराठी 
Language,Malay ,ms ,msa ,may ,"bahasa Melayu, بهاس ملايو "
Language,Maltese ,mt ,mlt ,mlt ,Malti 
Language,Burmese ,my ,mya ,bur ,ဗမာစာ 
Language,Nauru ,na ,nau ,nau ,Ekakairũ Naoero 
Language,Norwegian Bokmål ,nb ,nob ,nob ,Norsk bokmål 
Language,North Ndebele ,nd ,nde ,nde ,isiNdebele 
Language,Nepali ,ne ,nep ,nep ,नेपाली 
Language,Ndonga ,ng ,ndo ,ndo ,Owambo 
Language,Dutch ,nl ,nld ,dut ,"Nederlands, Vlaams "
Language,Norwegian Nynorsk ,nn ,nno ,nno ,Norsk nynorsk 
Language,Norwegian ,no ,nor ,nor ,Norsk 
Language,South Ndebele ,nr ,nbl ,nbl ,isiNdebele 
Language,"Navajo, Navaho ",nv ,nav ,nav ,"Diné bizaad, Dinékʼehǰí "
Language,Chichewa; Chewa; Nyanja ,ny ,nya ,nya ,"chiCheŵa, chinyanja "
Language,Occitan ,oc ,oci ,oci ,"occitan, lenga d'òc "
Language,"Ojibwe, Ojibwa ",oj ,oji ,oji ,ᐊᓂᔑᓈᐯᒧᐎᓐ 
Language,Oromo ,om ,orm ,orm ,Afaan Oromoo 
Language,Oriya ,or ,ori ,ori ,ଓଡ଼ିଆ 
Language,"Ossetian, Ossetic ",os ,oss ,oss ,ирон æвзаг 
Language,"Panjabi, Punjabi ",pa ,pan ,pan ,"ਪੰਜਾਬੀ, پنجابی "
Language,Pāli ,pi ,pli ,pli ,पाऴि 
Language,Polish ,pl ,pol ,pol ,"język polski, polszczyzna "
Language,"Pashto, Pushto ",ps ,pus ,pus ,پښتو 
Language,Portuguese ,pt ,por ,por ,português 
Language,Quechua ,qu ,que ,que ,"Runa Simi, Kichwa "
Language,Romansh ,rm ,roh ,roh ,rumantsch grischun 
Language,Kirundi ,rn ,run ,run ,Ikirundi 
Language,Romanian ,ro ,ron ,rum ,limba română 
Language,Russian ,ru ,rus ,rus ,русский язык 
Language,Kinyarwanda ,rw ,kin ,kin ,Ikinyarwanda 
Language,Sanskrit (Saṁskṛta) ,sa ,san ,san ,संस्कृतम् 
Language,Sardinian ,sc ,srd ,srd ,sardu 
Language,Sindhi ,sd ,snd ,snd ,"सिन्धी, سنڌي، سندھی "
Language,Northern Sami ,se ,sme ,sme ,Davvisámegiella 
Language,Sango ,sg ,sag ,sag ,yângâ tî sängö 
Language,"Sinhala, Sinhalese ",si ,sin ,sin ,සිංහල 
Language,Slovak ,sk ,slk ,slo ,"slovenčina, slovenský jazyk "
Language,Slovene ,sl ,slv ,slv ,"slovenski jezik, slovenščina "
Language,Samoan ,sm ,smo ,smo ,gagana fa'a Samoa 
Language,Shona ,sn ,sna ,sna ,chiShona 
Language,Somali ,so ,som ,som ,"Soomaaliga, af Soomaali "
Language,Albanian ,sq ,sqi ,alb ,gjuha shqipe 
Language,Serbian ,sr ,srp ,srp ,српски језик 
Language,Swati ,ss ,ssw ,ssw ,SiSwati 
Language,Southern Sotho ,st ,sot ,sot ,Sesotho 
Language,Sundanese ,su ,sun ,sun ,Basa Sunda 
Language,Swedish ,sv ,swe ,swe ,Svenska 
Language,Swahili ,sw ,swa ,swa ,Kiswahili 
Language,Tamil ,ta ,tam ,tam ,தமிழ் 
Language,Telugu ,te ,tel ,tel ,తెలుగు 
Language,Tajik ,tg ,tgk ,tgk ,"тоҷикӣ, toğikī, تاجیکی "
Language,Thai ,th ,tha ,tha ,ไทย 
Language,Tigrinya ,ti ,tir ,tir ,ትግርኛ 
Language,Turkmen ,tk ,tuk ,tuk ,"Türkmen, Түркмен "
Language,Tagalog ,tl ,tgl ,tgl ,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔ "
Language,Tswana ,tn ,tsn ,tsn ,Setswana 
Language,Tonga (Tonga Islands) ,to ,ton ,ton ,faka Tonga 
Language,Turkish ,tr ,tur ,tur ,Türkçe 
Language,Tsonga ,ts ,tso ,tso ,Xitsonga 
Language,Tatar ,tt ,tat ,tat ,"татар теле, tatar tele "
Language,Twi ,tw ,twi ,twi ,Twi 
Language,Tahitian ,ty ,tah ,tah ,Reo Tahiti 
Language,"Uyghur, Uighur ",ug ,uig ,uig ,"Uyƣurqə, ئۇيغۇرچە "
Language,Ukrainian ,uk ,ukr ,ukr ,українська мова 
Language,Urdu ,ur ,urd ,urd ,اردو 
Language,Uzbek ,uz ,uzb ,uzb ,"O‘zbek, Ўзбек, أۇزبېك "
Language,Venda ,ve ,ven ,ven ,Tshivenḓa 
Language,Vietnamese ,vi ,vie ,vie ,Tiếng Việt 
Language,Volapük ,vo ,vol ,vol ,Volapük 
Language,Walloon ,wa ,wln ,wln ,walon 
Language,Wolof ,wo ,wol ,wol ,Wollof 
Language,Xhosa ,xh ,xho ,xho ,isiXhosa 
Language,Yiddish ,yi ,yid ,yid ,ייִדיש 
Language,Yoruba ,yo ,yor ,yor ,Yorùbá 
Language,"Zhuang, Chuang ",za ,zha ,zha ,"Saɯ cueŋƅ, Saw cuengh "
Language,Chinese ,zh ,zho ,chi ,"中文 (Zhōngwén), 汉语, 漢語 "
Language,Zulu ,zu ,zul ,zul ,isiZulu 